,,,,,,,,,,,,,,,,,,,,,,,,,,
Specs (1:4),,,FREE LINUX,,,,,,,,WINDOWS,,,,,,,,REDHAT,,,,,,
#,vCPU,RAM,Ser,Typ,Fla,OS,Com,Mod,DETASAD New Monthly List Price,,Ser,Typ,Fla,OS,Com,Mod,DETASAD New Monthly List Price,,Ser,Typ,Fla,OS,Com,Mod,DETASAD New Monthly List Price
1,1,4,ECS,G1,4,LNX,OD,MO, SAR 143.83 ,,ECS,G1,4,WIN,OD,MO, SAR 256.73 ,,ECS,G1,4,RH,OD,MO, SAR 570.39 
2,2,8,ECS,G1,8,LNX,OD,MO, SAR 287.65 ,,ECS,G1,8,WIN,OD,MO, SAR 513.45 ,,ECS,G1,8,RH,OD,MO, SAR 714.21 
3,4,16,ECS,G1,16,LNX,OD,MO, SAR 575.31 ,,ECS,G1,16,WIN,OD,MO," SAR 1,026.90 ",,ECS,G1,16,RH,OD,MO," SAR 1,001.87 "
4,6,24,ECS,G1,24,LNX,OD,MO, SAR 862.96 ,,ECS,G1,24,WIN,OD,MO," SAR 1,540.36 ",,ECS,G1,24,RH,OD,MO," SAR 1,289.52 "
5,8,32,ECS,G1,32,LNX,OD,MO," SAR 1,150.61 ",,ECS,G1,32,WIN,OD,MO," SAR 2,053.81 ",,ECS,G1,32,RH,OD,MO," SAR 1,577.17 "
6,10,40,ECS,G1,40,LNX,OD,MO," SAR 1,438.26 ",,ECS,G1,40,WIN,OD,MO," SAR 2,567.26 ",,ECS,G1,40,RH,OD,MO," SAR 1,864.82 "
7,12,48,ECS,G1,48,LNX,OD,MO," SAR 1,725.92 ",,ECS,G1,48,WIN,OD,MO," SAR 3,080.71 ",,ECS,G1,48,RH,OD,MO," SAR 2,152.48 "
8,14,56,ECS,G1,56,LNX,OD,MO," SAR 2,013.57 ",,ECS,G1,56,WIN,OD,MO," SAR 3,594.16 ",,ECS,G1,56,RH,OD,MO," SAR 2,440.13 "
9,16,64,ECS,G1,64,LNX,OD,MO," SAR 2,301.22 ",,ECS,G1,64,WIN,OD,MO," SAR 4,107.62 ",,ECS,G1,64,RH,OD,MO," SAR 2,727.78 "
